Location_ID,Sensing_DateTime,Sensing_Date,Sensing_Time,Direction_1,Direction_2,Total_of_Directions
58,2025-10-10T02:40:00+11:00,2025-10-10,02:40,1,2,3
58,2025-10-10T02:41:00+11:00,2025-10-10,02:41,1,0,1
58,2025-10-10T02:42:00+11:00,2025-10-10,02:42,1,2,3
58,2025-10-10T02:51:00+11:00,2025-10-10,02:51,0,2,2
62,2025-10-10T02:43:00+11:00,2025-10-10,02:43,3,0,3
62,2025-10-10T02:44:00+11:00,2025-10-10,02:44,2,0,2
67,2025-10-10T02:41:00+11:00,2025-10-10,02:41,1,1,2
67,2025-10-10T02:47:00+11:00,2025-10-10,02:47,1,1,2
67,2025-10-10T02:48:00+11:00,2025-10-10,02:48,1,1,2
67,2025-10-10T02:50:00+11:00,2025-10-10,02:50,0,2,2
67,2025-10-10T02:53:00+11:00,2025-10-10,02:53,1,1,2
72,2025-10-10T02:53:00+11:00,2025-10-10,02:53,0,1,1
79,2025-10-10T02:41:00+11:00,2025-10-10,02:41,2,0,2
79,2025-10-10T02:43:00+11:00,2025-10-10,02:43,1,0,1
79,2025-10-10T02:50:00+11:00,2025-10-10,02:50,1,0,1
79,2025-10-10T02:52:00+11:00,2025-10-10,02:52,0,1,1
109,2025-10-10T02:50:00+11:00,2025-10-10,02:50,0,2,2
3,2025-10-10T01:43:00+11:00,2025-10-10,01:43,1,1,2
3,2025-10-10T01:45:00+11:00,2025-10-10,01:45,1,0,1
3,2025-10-10T01:50:00+11:00,2025-10-10,01:50,5,0,5
4,2025-10-10T01:41:00+11:00,2025-10-10,01:41,1,1,2
4,2025-10-10T01:45:00+11:00,2025-10-10,01:45,0,1,1
4,2025-10-10T01:53:00+11:00,2025-10-10,01:53,1,0,1
5,2025-10-10T01:45:00+11:00,2025-10-10,01:45,0,10,10
6,2025-10-10T01:40:00+11:00,2025-10-10,01:40,2,0,2
6,2025-10-10T01:43:00+11:00,2025-10-10,01:43,0,1,1
6,2025-10-10T01:51:00+11:00,2025-10-10,01:51,0,1,1
6,2025-10-10T01:52:00+11:00,2025-10-10,01:52,0,1,1
8,2025-10-10T01:52:00+11:00,2025-10-10,01:52,1,0,1
21,2025-10-10T01:40:00+11:00,2025-10-10,01:40,0,2,2
21,2025-10-10T01:50:00+11:00,2025-10-10,01:50,1,3,4
28,2025-10-10T01:51:00+11:00,2025-10-10,01:51,1,0,1
31,2025-10-10T01:41:00+11:00,2025-10-10,01:41,0,2,2
36,2025-10-10T01:43:00+11:00,2025-10-10,01:43,0,7,7
36,2025-10-10T01:44:00+11:00,2025-10-10,01:44,0,1,1
37,2025-10-10T01:51:00+11:00,2025-10-10,01:51,0,1,1
41,2025-10-10T01:43:00+11:00,2025-10-10,01:43,0,2,2
41,2025-10-10T01:49:00+11:00,2025-10-10,01:49,4,2,6
41,2025-10-10T01:50:00+11:00,2025-10-10,01:50,1,2,3
41,2025-10-10T01:51:00+11:00,2025-10-10,01:51,1,0,1
41,2025-10-10T01:53:00+11:00,2025-10-10,01:53,1,1,2
42,2025-10-10T01:49:00+11:00,2025-10-10,01:49,0,1,1
42,2025-10-10T01:54:00+11:00,2025-10-10,01:54,2,0,2
45,2025-10-10T01:43:00+11:00,2025-10-10,01:43,0,4,4
45,2025-10-10T01:47:00+11:00,2025-10-10,01:47,2,0,2
