Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,location
2010,85,102596,102596,22 Drewery Place MELBOURNE 3000,Melbourne (CBD),Sister Bellas,9 Drewery Place MELBOURNE 3000,80,144.9638167025,-37.81135526944543,"-37.81135526944543, 144.9638167025"
2010,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Rockstar Bowling,"Shop 305, Level 3, 300 La Trobe Street MELBOURNE 3000",760,144.96283887080034,-37.810901747299994,"-37.810901747299994, 144.96283887080034"
2010,87,108567,108567,300 Russell Street MELBOURNE 3000,Melbourne (CBD),Jankara Japanese Bar,"Ground , 300 Russell Street MELBOURNE 3000",80,144.9669050494816,-37.80951656025,"-37.80951656025, 144.9669050494816"
2010,204,101613,101613,377-391 Cardigan Street CARLTON 3053,Carlton,Clyde Hotel,377-391 Cardigan Street CARLTON 3053,239,144.96575431985002,-37.79725538716127,"-37.79725538716127, 144.96575431985002"
2010,215,108202,108202,415-421 Rathdowne Street CARLTON 3053,Carlton,Clare Castle Hotel,415-421 Rathdowne Street CARLTON 3053,50,144.9704268718,-37.79652043274683,"-37.79652043274683, 144.9704268718"
2010,803,111175,110477,8 Whiteman Street SOUTHBANK 3006,Southbank,Fidel's Bar & Lounge,"Shop 61, Basement , 8 Whiteman Street SOUTHBANK 3006",100,144.95833558284,-37.82316159535,"-37.82316159535, 144.95833558284"
2010,803,111175,110477,8 Whiteman Street SOUTHBANK 3006,Southbank,The Pub At Crown,"Shop 46, Ground , 8 Whiteman Street SOUTHBANK 3006",300,144.95833558284,-37.82316159535,"-37.82316159535, 144.95833558284"
2010,1103,558180,558180,122-148 Harbour Esplanade DOCKLANDS 3008,Docklands,Captains Bar,"Part Level 1, 140 Harbour Esplanade DOCKLANDS 3008",80,144.94756024120312,-37.81674197865,"-37.81674197865, 144.94756024120312"
2011,17,103592,103592,11-37 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Eleven 37,"Level 2, 11 Exhibition Street MELBOURNE 3000",123,144.97172640115,-37.815461267395506,"-37.815461267395506, 144.97172640115"
2011,17,104026,104026,104-112 Flinders Street MELBOURNE 3000,Melbourne (CBD),24 Moons,"Rear Level 2, 108-112 Flinders Street MELBOURNE 3000",195,144.97115550425,-37.81600505948468,"-37.81600505948468, 144.97115550425"
