GIS_ID,DESCRIPTION,ASSET_CLASS,ASSET_TYPE,MODEL_NO,MODEL_DESCR,DIVISION,COMPANY,LOCATION_DESC,CONDITION_RATING,EVALUATION_DATE,EASTING,NORTHING,UploadDate,CoordinateLocation
1079582,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Queen Street between Little Collins Street and Bourke Street approximately 4m East of Ezymart Queen Street, Ground & Part Level 2, 123 Queen Street, Melbourne, 3000",3.1,2021-04-30,320512.18,5812676.24,2021-08-14,"-37.81568311066363, 144.9608586558407"
1083202,Bollard - Steel Bollard - Standard,Outdoor Furniture,Bollard,200401-062,Bollard - Steel Bollard - Standard,Infrastructure and Assets,City of Melbourne,"Stawell Street between Ireland Street and Dynon Road approximately 28m East of 18 Anderson Street, West Melbourne, 3003",2.35,2021-04-30,318857.93,5813753.63,2021-08-14,"-37.80565188850078, 144.94234543321232"
1082827,Bollard - Removable Bollard Socket - Type 1,Outdoor Furniture,Bollard,200401-050,Bollard - Removable Bollard Socket - Type 1,Infrastructure and Assets,City of Melbourne,Yarra Park,1.0,2021-04-30,322703.85,5811992.96,2021-08-14,"-37.822266150661726, 144.98557642529605"
1084358,Bollard - Timber Bollard,Outdoor Furniture,Bollard,200401-067,Bollard - Timber Bollard,Infrastructure and Assets,City of Melbourne,Yarra Park,1.0,2021-04-30,322525.88,5812082.94,2021-08-14,"-37.82142105537863, 144.98357755545985"
1079878,Seat - Older Style Park Seat - Timber Slats,Outdoor Furniture,Seat,201101-050,Seat - Older Style Park Seat - Timber Slats,Infrastructure and Assets,City of Melbourne,"Royal Society Of Victoria approximately 34m North of The Royal Society Of Victoria Incorporated, Royal Society Of Victoria, 8 La Trobe Street, Melbourne, 3000",3.12,2021-04-30,321205.77,5813586.18,2021-08-14,"-37.80762293644948, 144.968958523671"
1079887,Seat - Straight Seat - Wooden & Concrete,Outdoor Furniture,Seat,201101-036,Seat - Straight Seat - Wooden & Concrete,Infrastructure and Assets,City of Melbourne,"St Augustines Church approximately 28m East of St Augustine's R C Church, 651 Bourke Street, Melbourne, 3000",1.0,2021-04-30,319989.83,5812528.49,2021-08-14,"-37.81691109666435, 144.95489103436995"
1082846,Bollard - Removable Steel Bollard,Outdoor Furniture,Bollard,200401-051,Bollard - Removable Steel Bollard,Infrastructure and Assets,City of Melbourne,"Tivoli Arcade approximately 12m East of Cabinet Bar, 11 Rainbow Alley, Melbourne, 3000",1.0,2021-04-30,321003.08,5812861.49,2021-08-14,"-37.814110868691785, 144.96647827390225"
1079903,Seat - Straight Seat - Wooden Battens - Type 2,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Infrastructure and Assets,City of Melbourne,"Keppel Street between Palmerston Street and Cardigan Street approximately 26m South of Australian College Of Optometry, 374-386 Cardigan Street, Carlton, 3053",2.95,2021-04-30,320965.58,5814918.2,2021-08-14,"-37.79557768349483, 144.96656072480175"
1084363,Bollard - Timber Bollard,Outdoor Furniture,Bollard,200401-067,Bollard - Timber Bollard,Infrastructure and Assets,City of Melbourne,"Yarra Park approximately 86m South of 6 Jolimont Lane, East Melbourne, 3002",1.0,2021-04-30,322146.7,5812354.4,2021-08-14,"-37.818902046409086, 144.97933854243837"
1079912,Seat - Straight Seat - Wooden Battens - Type 2,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Infrastructure and Assets,City of Melbourne,"Kings Domain South approximately 63m SE of The Gardens Shop, Gardens Shop, 100 Birdwood Avenue, Melbourne, 3004",1.39,2021-04-30,321789.05,5811055.35,2021-08-14,"-37.83053350952257, 144.97495762603106"
1079929,Seat - Straight Seat - Wooden Battens - Type 2,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Infrastructure and Assets,City of Melbourne,"Enterprize Park approximately 57m South of Enterprize Park, 469-503 Flinders Street, Melbourne, 3000",1.0,2021-04-30,320363.75,5812128.35,2021-08-14,"-37.82058900228858, 144.95903740973657"
1079931,Seat - Straight Seat - Wooden Battens - Type 2,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Infrastructure and Assets,City of Melbourne,"Royal Park approximately 61m NE of Sanctuary/St Germaine Foundation, 347-349 Flemington Road, North Melbourne, 3051",2.82,2021-04-30,318982.06,5815426.62,2021-08-14,"-37.790607227171414, 144.94417248132604"
1083574,Bollard - Steel Bollard,Outdoor Furniture,Bollard,200401-060,Bollard - Steel Bollard,Infrastructure and Assets,City of Melbourne,"Riverside Quay between Cook Street and Southgate Avenue approximately 19m NE of Travelodge Southbank, Travelodge, 9 Riverside Quay, Southbank, 3006",3.17,2021-04-30,320908.55,5812092.07,2021-08-14,"-37.82102286510375, 144.96521466382177"
1111105,Bollard - Wooden Removable Style,Outdoor Furniture,Bollard,200401-000,Bollard - Unknown Type,Parks and City Greening,City of Melbourne,Royal Park,3.0,2019-09-09,319636.0,5815861.95,2021-08-14,"-37.78681534674508, 144.95170321953674"
1111106,Bollard - Wooden Removable Style,Outdoor Furniture,Bollard,200401-000,Bollard - Unknown Type,Parks and City Greening,City of Melbourne,"Upfield Railway approximately 31m SE of Royal Park Railway Station, Poplar Road, Parkville, 3052",3.0,2019-05-09,319643.11,5816460.96,2021-08-14,"-37.78142119255603, 144.9519328765437"
1080756,Bollard - Removable Traffic Bollard - Flipper Type 1,Outdoor Furniture,Bollard,200401-053,Bollard - Removable Traffic Bollard - Flipper Type 1,Infrastructure and Assets,City of Melbourne,"Equitable Place between Little Collins Street and Collins Street approximately 5m SW of Seedling Cafe, 349 Little Collins Street, Melbourne, 3000",3.16,2021-04-30,320701.34,5812704.37,2021-08-14,"-37.81546690627546, 144.9630133980273"
1111109,Bollard - Wooden Removable Style,Outdoor Furniture,Bollard,200401-000,Bollard - Unknown Type,Parks and City Greening,City of Melbourne,Royal Park,3.0,2019-09-09,319510.02,5815822.51,2021-08-14,"-37.787145724548104, 144.95026355689316"
